,epoch,train_loss,train_acc
65,65,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
66,66,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
67,67,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
68,68,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
69,69,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
70,70,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
71,71,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
72,72,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
73,73,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
74,74,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
75,75,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
76,76,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
77,77,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
78,78,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
79,79,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
80,80,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
81,81,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
82,82,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
83,83,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
84,84,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
85,85,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
86,86,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
87,87,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
88,88,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
89,89,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
90,90,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
91,91,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
92,92,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
93,93,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
94,94,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
95,95,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
96,96,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
97,97,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
98,98,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
99,99,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
100,100,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
101,101,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
102,102,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
103,103,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
104,104,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
105,105,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
106,106,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
107,107,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
108,108,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
109,109,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
110,110,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
111,111,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
112,112,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
113,113,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
114,114,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
115,115,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
116,116,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
117,117,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
118,118,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
119,119,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
120,120,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
121,121,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
122,122,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
123,123,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
124,124,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
125,125,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
126,126,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
127,127,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
128,128,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
129,129,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
130,130,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
131,131,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
132,132,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
133,133,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
134,134,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
135,135,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
136,136,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
137,137,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
138,138,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
139,139,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
140,140,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
141,141,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
142,142,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
143,143,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
144,144,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
145,145,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
146,146,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
147,147,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
148,148,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
149,149,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
150,150,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
151,151,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
152,152,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
153,153,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
154,154,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
155,155,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
156,156,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
157,157,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
158,158,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
159,159,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
160,160,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
161,161,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
162,162,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
163,163,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
164,164,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
165,165,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
166,166,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
167,167,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
168,168,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
169,169,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
170,170,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
171,171,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
172,172,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
173,173,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
174,174,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
175,175,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
176,176,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
177,177,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
178,178,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
179,179,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
180,180,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
181,181,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
182,182,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
183,183,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
184,184,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
185,185,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
186,186,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
187,187,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
188,188,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
189,189,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
190,190,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
191,191,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
192,192,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
193,193,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
194,194,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
195,195,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
196,196,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
197,197,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
198,198,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
199,199,6.073030471801758,"(0.02338888868689537, 0.026081212375883813, 0.020696564997906928)"
